Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1690,828,2010,136.31,ALL,ALL,ALL,0TO99
1654,788,2010,57.11,ALL,ALL,ALL,0TO99
1667,781,2010,57.40,ALL,ALL,ALL,0TO99
1637,785,2010,155.93,ALL,ALL,ALL,0TO99
1642,786,2010,197.92,ALL,ALL,ALL,0TO99
1668,825,2010,1262.77,ALL,ALL,ALL,0TO99
1703,835,2010,291.09,ALL,ALL,ALL,0TO99
1664,789,2010,116.89,ALL,ALL,ALL,0TO99
1664,802,2010,195.68,ALL,ALL,ALL,0TO99
1691,836,2010,151.10,ALL,ALL,ALL,0TO99
1645,778,2010,57.52,ALL,ALL,ALL,0TO99
1648,793,2010,196.89,ALL,ALL,ALL,0TO99
1673,830,2010,1257.21,ALL,ALL,ALL,0TO99
1642,795,2010,185.60,ALL,ALL,ALL,0TO99
1656,780,2010,57.44,ALL,ALL,ALL,0TO99
1644,790,2010,197.33,ALL,ALL,ALL,0TO99
1671,830,2010,1257.21,ALL,ALL,ALL,0TO99
1679,812,2010,137.40,ALL,ALL,ALL,0TO99
1671,793,2010,196.46,ALL,ALL,ALL,0TO99
1673,814,2010,137.18,ALL,ALL,ALL,0TO99
1644,795,2010,196.59,ALL,ALL,ALL,0TO99
1682,831,2010,151.79,ALL,ALL,ALL,0TO99
1666,792,2010,197.04,ALL,ALL,ALL,0TO99
1667,773,2010,99.95,ALL,ALL,ALL,0TO99
1674,818,2010,136.71,ALL,ALL,ALL,0TO99
1696,831,2010,135.44,ALL,ALL,ALL,0TO99
1655,804,2010,153.11,ALL,ALL,ALL,0TO99
1695,831,2010,140.85,ALL,ALL,ALL,0TO99
1694,825,2010,152.59,ALL,ALL,ALL,0TO99
1659,774,2010,57.68,ALL,ALL,ALL,0TO99
1665,784,2010,57.27,ALL,ALL,ALL,0TO99
1654,814,2010,137.18,ALL,ALL,ALL,0TO99
1633,778,2010,57.52,ALL,ALL,ALL,0TO99
1666,791,2010,197.18,ALL,ALL,ALL,0TO99
1694,823,2010,152.86,ALL,ALL,ALL,0TO99
1644,794,2010,196.74,ALL,ALL,ALL,0TO99
1665,817,2010,136.83,ALL,ALL,ALL,0TO99
1677,829,2010,1258.38,ALL,ALL,ALL,0TO99
1643,782,2010,139.34,ALL,ALL,ALL,0TO99
1672,801,2010,196.24,ALL,ALL,ALL,0TO99
1702,830,2010,151.92,ALL,ALL,ALL,0TO99
1659,804,2010,187.26,ALL,ALL,ALL,0TO99
1686,823,2010,121.55,ALL,ALL,ALL,0TO99
1649,781,2010,57.40,ALL,ALL,ALL,0TO99
1668,796,2010,196.44,ALL,ALL,ALL,0TO99
1674,814,2010,137.18,ALL,ALL,ALL,0TO99
1683,830,2010,151.92,ALL,ALL,ALL,0TO99
1656,806,2010,138.07,ALL,ALL,ALL,0TO99
1662,804,2010,150.28,ALL,ALL,ALL,0TO99
1694,826,2010,152.46,ALL,ALL,ALL,0TO99
1664,780,2010,57.44,ALL,ALL,ALL,0TO99
1666,777,2010,57.56,ALL,ALL,ALL,0TO99
1670,808,2010,137.85,ALL,ALL,ALL,0TO99
1659,809,2010,137.74,ALL,ALL,ALL,0TO99
1680,814,2010,131.78,ALL,ALL,ALL,0TO99
1680,819,2010,131.20,ALL,ALL,ALL,0TO99
1650,789,2010,57.06,ALL,ALL,ALL,0TO99
1639,781,2010,183.37,ALL,ALL,ALL,0TO99
1680,809,2010,130.01,ALL,ALL,ALL,0TO99
1698,834,2010,151.38,ALL,ALL,ALL,0TO99
1660,795,2010,196.59,ALL,ALL,ALL,0TO99
1664,793,2010,196.89,ALL,ALL,ALL,0TO99
1667,829,2010,1258.38,ALL,ALL,ALL,0TO99
1680,825,2010,152.59,ALL,ALL,ALL,0TO99
1650,785,2010,57.23,ALL,ALL,ALL,0TO99
1665,808,2010,137.85,ALL,ALL,ALL,0TO99
1695,823,2010,152.86,ALL,ALL,ALL,0TO99
1667,776,2010,57.60,ALL,ALL,ALL,0TO99
1703,825,2010,152.59,ALL,ALL,ALL,0TO99
1652,776,2010,57.60,ALL,ALL,ALL,0TO99
1684,821,2010,152.78,ALL,ALL,ALL,0TO99
1694,831,2010,132.30,ALL,ALL,ALL,0TO99
1653,775,2010,57.64,ALL,ALL,ALL,0TO99
1647,778,2010,57.52,ALL,ALL,ALL,0TO99
1665,812,2010,137.40,ALL,ALL,ALL,0TO99
1704,833,2010,163.12,ALL,ALL,ALL,0TO99
1657,779,2010,57.48,ALL,ALL,ALL,0TO99
1704,827,2010,152.33,ALL,ALL,ALL,0TO99
1661,811,2010,137.52,ALL,ALL,ALL,0TO99
1645,781,2010,68.41,ALL,ALL,ALL,0TO99
1703,834,2010,179.16,ALL,ALL,ALL,0TO99
1713,829,2010,289.44,ALL,ALL,ALL,0TO99
1649,796,2010,196.44,ALL,ALL,ALL,0TO99
1653,794,2010,196.74,ALL,ALL,ALL,0TO99
1667,802,2010,195.68,ALL,ALL,ALL,0TO99
1660,793,2010,196.89,ALL,ALL,ALL,0TO99
1710,821,2010,153.12,ALL,ALL,ALL,0TO99
1674,819,2010,136.60,ALL,ALL,ALL,0TO99
1657,799,2010,195.99,ALL,ALL,ALL,0TO99
1676,831,2010,1256.12,ALL,ALL,ALL,0TO99
1669,817,2010,136.83,ALL,ALL,ALL,0TO99
1676,817,2010,136.83,ALL,ALL,ALL,0TO99
1654,806,2010,135.73,ALL,ALL,ALL,0TO99
1713,826,2010,150.80,ALL,ALL,ALL,0TO99
1643,780,2010,57.44,ALL,ALL,ALL,0TO99
1656,790,2010,57.02,ALL,ALL,ALL,0TO99
1665,815,2010,137.06,ALL,ALL,ALL,0TO99
1671,820,2010,136.48,ALL,ALL,ALL,0TO99
1711,830,2010,253.71,ALL,ALL,ALL,0TO99
1668,831,2010,1256.12,ALL,ALL,ALL,0TO99
1639,787,2010,197.77,ALL,ALL,ALL,0TO99
1675,835,2010,1251.56,ALL,ALL,ALL,0TO99
1666,800,2010,195.83,ALL,ALL,ALL,0TO99
1656,811,2010,137.52,ALL,ALL,ALL,0TO99
1691,835,2010,151.24,ALL,ALL,ALL,0TO99
1710,829,2010,152.06,ALL,ALL,ALL,0TO99
1642,785,2010,198.06,ALL,ALL,ALL,0TO99
1698,833,2010,151.51,ALL,ALL,ALL,0TO99
1710,833,2010,308.71,ALL,ALL,ALL,0TO99
1686,825,2010,152.44,ALL,ALL,ALL,0TO99
1654,786,2010,57.19,ALL,ALL,ALL,0TO99
1668,816,2010,136.95,ALL,ALL,ALL,0TO99
1663,780,2010,57.44,ALL,ALL,ALL,0TO99
1641,789,2010,197.48,ALL,ALL,ALL,0TO99
1661,808,2010,137.85,ALL,ALL,ALL,0TO99
1679,807,2010,137.96,ALL,ALL,ALL,0TO99
1641,783,2010,198.34,ALL,ALL,ALL,0TO99
1652,792,2010,125.26,ALL,ALL,ALL,0TO99
1670,817,2010,136.83,ALL,ALL,ALL,0TO99
1661,805,2010,138.18,ALL,ALL,ALL,0TO99
1699,833,2010,151.51,ALL,ALL,ALL,0TO99
1636,777,2010,57.56,ALL,ALL,ALL,0TO99
1643,784,2010,198.20,ALL,ALL,ALL,0TO99
1658,797,2010,196.29,ALL,ALL,ALL,0TO99
1679,814,2010,137.18,ALL,ALL,ALL,0TO99
1678,833,2010,1253.85,ALL,ALL,ALL,0TO99
1642,781,2010,58.18,ALL,ALL,ALL,0TO99
1680,835,2010,1251.56,ALL,ALL,ALL,0TO99
1649,797,2010,196.29,ALL,ALL,ALL,0TO99
1666,799,2010,195.99,ALL,ALL,ALL,0TO99
1706,821,2010,153.12,ALL,ALL,ALL,0TO99
1666,807,2010,137.96,ALL,ALL,ALL,0TO99
1712,821,2010,153.12,ALL,ALL,ALL,0TO99
1700,824,2010,152.73,ALL,ALL,ALL,0TO99
1638,777,2010,57.56,ALL,ALL,ALL,0TO99
1656,805,2010,138.18,ALL,ALL,ALL,0TO99
1706,836,2010,307.87,ALL,ALL,ALL,0TO99
1699,826,2010,152.46,ALL,ALL,ALL,0TO99
1656,796,2010,196.44,ALL,ALL,ALL,0TO99
1697,820,2010,153.25,ALL,ALL,ALL,0TO99
1678,831,2010,1256.12,ALL,ALL,ALL,0TO99
1658,789,2010,57.06,ALL,ALL,ALL,0TO99
1659,789,2010,57.06,ALL,ALL,ALL,0TO99
1650,792,2010,70.56,ALL,ALL,ALL,0TO99
1658,811,2010,137.52,ALL,ALL,ALL,0TO99
1667,821,2010,136.37,ALL,ALL,ALL,0TO99
1687,826,2010,120.37,ALL,ALL,ALL,0TO99
1657,818,2010,136.71,ALL,ALL,ALL,0TO99
1663,818,2010,136.71,ALL,ALL,ALL,0TO99
1663,799,2010,195.99,ALL,ALL,ALL,0TO99
1661,810,2010,137.62,ALL,ALL,ALL,0TO99
1663,793,2010,196.89,ALL,ALL,ALL,0TO99
1649,789,2010,150.17,ALL,ALL,ALL,0TO99
1646,773,2010,251.85,ALL,ALL,ALL,0TO99
1657,798,2010,196.14,ALL,ALL,ALL,0TO99
1661,812,2010,137.40,ALL,ALL,ALL,0TO99
1675,836,2010,1250.45,ALL,ALL,ALL,0TO99
1703,836,2010,307.87,ALL,ALL,ALL,0TO99
1653,784,2010,57.27,ALL,ALL,ALL,0TO99
1675,820,2010,1205.58,ALL,ALL,ALL,0TO99
1672,806,2010,137.66,ALL,ALL,ALL,0TO99
1698,824,2010,152.73,ALL,ALL,ALL,0TO99
1665,793,2010,196.89,ALL,ALL,ALL,0TO99
1633,774,2010,57.68,ALL,ALL,ALL,0TO99
1658,785,2010,57.23,ALL,ALL,ALL,0TO99
1668,811,2010,137.52,ALL,ALL,ALL,0TO99
1657,812,2010,137.40,ALL,ALL,ALL,0TO99
1643,787,2010,197.77,ALL,ALL,ALL,0TO99
1679,804,2010,171.38,ALL,ALL,ALL,0TO99
1680,795,2010,196.59,ALL,ALL,ALL,0TO99
1679,811,2010,137.52,ALL,ALL,ALL,0TO99
1664,808,2010,137.85,ALL,ALL,ALL,0TO99
1692,833,2010,151.51,ALL,ALL,ALL,0TO99
1643,788,2010,197.62,ALL,ALL,ALL,0TO99
1702,820,2010,153.25,ALL,ALL,ALL,0TO99
1661,784,2010,57.27,ALL,ALL,ALL,0TO99
1652,774,2010,57.68,ALL,ALL,ALL,0TO99
1652,805,2010,161.35,ALL,ALL,ALL,0TO99
1640,792,2010,170.11,ALL,ALL,ALL,0TO99
1661,793,2010,196.89,ALL,ALL,ALL,0TO99
1676,796,2010,196.44,ALL,ALL,ALL,0TO99
1691,825,2010,152.59,ALL,ALL,ALL,0TO99
1655,777,2010,57.56,ALL,ALL,ALL,0TO99
1705,827,2010,152.33,ALL,ALL,ALL,0TO99
1682,824,2010,152.73,ALL,ALL,ALL,0TO99
1650,776,2010,57.60,ALL,ALL,ALL,0TO99
1652,803,2010,195.39,ALL,ALL,ALL,0TO99
1658,787,2010,57.15,ALL,ALL,ALL,0TO99
1673,806,2010,138.07,ALL,ALL,ALL,0TO99
1669,774,2010,57.68,ALL,ALL,ALL,0TO99
1660,780,2010,57.44,ALL,ALL,ALL,0TO99
1669,819,2010,136.60,ALL,ALL,ALL,0TO99
1645,773,2010,250.40,ALL,ALL,ALL,0TO99
1679,818,2010,136.71,ALL,ALL,ALL,0TO99
1709,826,2010,152.46,ALL,ALL,ALL,0TO99
1637,777,2010,57.56,ALL,ALL,ALL,0TO99
1656,804,2010,162.69,ALL,ALL,ALL,0TO99
1660,818,2010,136.71,ALL,ALL,ALL,0TO99
1663,796,2010,196.44,ALL,ALL,ALL,0TO99
1691,823,2010,152.86,ALL,ALL,ALL,0TO99
1677,822,2010,152.99,ALL,ALL,ALL,0TO99
1701,834,2010,151.38,ALL,ALL,ALL,0TO99
1668,830,2010,1257.21,ALL,ALL,ALL,0TO99
1679,809,2010,137.74,ALL,ALL,ALL,0TO99
1705,821,2010,153.12,ALL,ALL,ALL,0TO99
1674,796,2010,196.44,ALL,ALL,ALL,0TO99
1651,777,2010,57.56,ALL,ALL,ALL,0TO99
1676,818,2010,136.71,ALL,ALL,ALL,0TO99
1660,782,2010,57.36,ALL,ALL,ALL,0TO99
1659,808,2010,137.85,ALL,ALL,ALL,0TO99
1667,791,2010,197.18,ALL,ALL,ALL,0TO99
1634,782,2010,46.14,ALL,ALL,ALL,0TO99
1665,776,2010,57.60,ALL,ALL,ALL,0TO99
1671,824,2010,1263.91,ALL,ALL,ALL,0TO99
1642,779,2010,57.48,ALL,ALL,ALL,0TO99
1644,782,2010,165.26,ALL,ALL,ALL,0TO99
1702,831,2010,151.79,ALL,ALL,ALL,0TO99
1644,775,2010,57.64,ALL,ALL,ALL,0TO99
1647,791,2010,197.18,ALL,ALL,ALL,0TO99
1671,808,2010,137.85,ALL,ALL,ALL,0TO99
1700,831,2010,151.79,ALL,ALL,ALL,0TO99
1666,783,2010,57.31,ALL,ALL,ALL,0TO99
1668,819,2010,136.60,ALL,ALL,ALL,0TO99
1679,832,2010,1181.85,ALL,ALL,ALL,0TO99
1645,774,2010,57.68,ALL,ALL,ALL,0TO99
1655,792,2010,194.34,ALL,ALL,ALL,0TO99
1671,799,2010,195.99,ALL,ALL,ALL,0TO99
1684,828,2010,92.96,ALL,ALL,ALL,0TO99
1712,822,2010,152.99,ALL,ALL,ALL,0TO99
1662,809,2010,137.74,ALL,ALL,ALL,0TO99
1644,773,2010,248.79,ALL,ALL,ALL,0TO99
1656,774,2010,57.68,ALL,ALL,ALL,0TO99
1631,778,2010,21.18,ALL,ALL,ALL,0TO99
1712,823,2010,152.86,ALL,ALL,ALL,0TO99
1656,815,2010,137.06,ALL,ALL,ALL,0TO99
1650,787,2010,57.15,ALL,ALL,ALL,0TO99
1657,785,2010,57.23,ALL,ALL,ALL,0TO99
1667,819,2010,136.60,ALL,ALL,ALL,0TO99
1662,810,2010,137.62,ALL,ALL,ALL,0TO99
1657,816,2010,136.95,ALL,ALL,ALL,0TO99
1687,823,2010,152.86,ALL,ALL,ALL,0TO99
1683,825,2010,141.24,ALL,ALL,ALL,0TO99
1674,802,2010,183.62,ALL,ALL,ALL,0TO99
1679,798,2010,196.14,ALL,ALL,ALL,0TO99
1647,777,2010,57.56,ALL,ALL,ALL,0TO99
1684,824,2010,152.15,ALL,ALL,ALL,0TO99
1694,830,2010,150.20,ALL,ALL,ALL,0TO99
1663,800,2010,195.83,ALL,ALL,ALL,0TO99
1700,820,2010,153.25,ALL,ALL,ALL,0TO99
1702,835,2010,198.89,ALL,ALL,ALL,0TO99
1664,824,2010,136.02,ALL,ALL,ALL,0TO99
1635,774,2010,57.68,ALL,ALL,ALL,0TO99
1651,783,2010,57.31,ALL,ALL,ALL,0TO99
1670,777,2010,32.10,ALL,ALL,ALL,0TO99
1646,799,2010,195.99,ALL,ALL,ALL,0TO99
1667,798,2010,196.14,ALL,ALL,ALL,0TO99
1666,797,2010,196.29,ALL,ALL,ALL,0TO99
1681,829,2010,152.06,ALL,ALL,ALL,0TO99
1666,812,2010,137.40,ALL,ALL,ALL,0TO99
1659,813,2010,137.29,ALL,ALL,ALL,0TO99
1655,818,2010,94.33,ALL,ALL,ALL,0TO99
1669,809,2010,137.74,ALL,ALL,ALL,0TO99
1682,833,2010,151.51,ALL,ALL,ALL,0TO99
1695,834,2010,151.38,ALL,ALL,ALL,0TO99
1661,789,2010,57.06,ALL,ALL,ALL,0TO99
1699,829,2010,137.13,ALL,ALL,ALL,0TO99
1660,792,2010,197.04,ALL,ALL,ALL,0TO99
1636,775,2010,57.64,ALL,ALL,ALL,0TO99
1674,807,2010,121.16,ALL,ALL,ALL,0TO99
1661,799,2010,195.99,ALL,ALL,ALL,0TO99
1676,810,2010,133.02,ALL,ALL,ALL,0TO99
1648,794,2010,196.74,ALL,ALL,ALL,0TO99
1664,807,2010,137.96,ALL,ALL,ALL,0TO99
1678,808,2010,137.85,ALL,ALL,ALL,0TO99
1638,778,2010,57.52,ALL,ALL,ALL,0TO99
1665,819,2010,136.60,ALL,ALL,ALL,0TO99
1670,792,2010,197.04,ALL,ALL,ALL,0TO99
1669,831,2010,1256.12,ALL,ALL,ALL,0TO99
1673,831,2010,1256.12,ALL,ALL,ALL,0TO99
1708,829,2010,152.06,ALL,ALL,ALL,0TO99
1666,780,2010,57.44,ALL,ALL,ALL,0TO99
1671,816,2010,136.95,ALL,ALL,ALL,0TO99
1655,807,2010,137.96,ALL,ALL,ALL,0TO99
1647,792,2010,197.04,ALL,ALL,ALL,0TO99
1637,781,2010,57.40,ALL,ALL,ALL,0TO99
1662,824,2010,136.02,ALL,ALL,ALL,0TO99
1699,836,2010,184.63,ALL,ALL,ALL,0TO99
1665,804,2010,159.84,ALL,ALL,ALL,0TO99
1656,785,2010,57.23,ALL,ALL,ALL,0TO99
1662,801,2010,196.24,ALL,ALL,ALL,0TO99
1655,808,2010,137.85,ALL,ALL,ALL,0TO99
1663,778,2010,57.52,ALL,ALL,ALL,0TO99
1664,819,2010,136.60,ALL,ALL,ALL,0TO99
1678,823,2010,152.86,ALL,ALL,ALL,0TO99
1655,773,2010,251.36,ALL,ALL,ALL,0TO99
1654,795,2010,196.59,ALL,ALL,ALL,0TO99
1687,833,2010,151.51,ALL,ALL,ALL,0TO99
1666,774,2010,57.68,ALL,ALL,ALL,0TO99
1688,831,2010,151.79,ALL,ALL,ALL,0TO99
1658,818,2010,136.71,ALL,ALL,ALL,0TO99
1650,803,2010,195.39,ALL,ALL,ALL,0TO99
1644,776,2010,57.60,ALL,ALL,ALL,0TO99
1651,786,2010,57.19,ALL,ALL,ALL,0TO99
1682,834,2010,151.38,ALL,ALL,ALL,0TO99
1659,791,2010,131.78,ALL,ALL,ALL,0TO99
1663,774,2010,57.68,ALL,ALL,ALL,0TO99
1645,798,2010,196.14,ALL,ALL,ALL,0TO99
1698,827,2010,152.33,ALL,ALL,ALL,0TO99
1650,775,2010,57.64,ALL,ALL,ALL,0TO99
1691,826,2010,152.46,ALL,ALL,ALL,0TO99
1697,826,2010,152.46,ALL,ALL,ALL,0TO99
1639,784,2010,198.20,ALL,ALL,ALL,0TO99
1687,824,2010,133.64,ALL,ALL,ALL,0TO99
1669,793,2010,196.89,ALL,ALL,ALL,0TO99
1676,822,2010,152.99,ALL,ALL,ALL,0TO99
1649,795,2010,196.59,ALL,ALL,ALL,0TO99
1651,784,2010,57.27,ALL,ALL,ALL,0TO99
1652,784,2010,57.27,ALL,ALL,ALL,0TO99
1693,836,2010,151.10,ALL,ALL,ALL,0TO99
1654,801,2010,196.24,ALL,ALL,ALL,0TO99
1676,797,2010,196.29,ALL,ALL,ALL,0TO99
1703,831,2010,151.79,ALL,ALL,ALL,0TO99
1659,820,2010,136.48,ALL,ALL,ALL,0TO99
1653,793,2010,196.89,ALL,ALL,ALL,0TO99
1650,800,2010,195.83,ALL,ALL,ALL,0TO99
1681,836,2010,1229.56,ALL,ALL,ALL,0TO99
1657,774,2010,57.68,ALL,ALL,ALL,0TO99
1667,793,2010,196.89,ALL,ALL,ALL,0TO99
1656,799,2010,195.99,ALL,ALL,ALL,0TO99
1700,827,2010,152.33,ALL,ALL,ALL,0TO99
1703,827,2010,152.33,ALL,ALL,ALL,0TO99
1698,826,2010,152.46,ALL,ALL,ALL,0TO99
1710,824,2010,152.73,ALL,ALL,ALL,0TO99
1665,813,2010,137.29,ALL,ALL,ALL,0TO99
1668,783,2010,57.31,ALL,ALL,ALL,0TO99
1657,792,2010,188.17,ALL,ALL,ALL,0TO99
1650,793,2010,179.19,ALL,ALL,ALL,0TO99
1677,813,2010,137.29,ALL,ALL,ALL,0TO99
1654,793,2010,196.89,ALL,ALL,ALL,0TO99
1686,835,2010,151.24,ALL,ALL,ALL,0TO99
1680,820,2010,149.78,ALL,ALL,ALL,0TO99
1650,783,2010,57.31,ALL,ALL,ALL,0TO99
1669,835,2010,1224.63,ALL,ALL,ALL,0TO99
1670,793,2010,196.89,ALL,ALL,ALL,0TO99
1683,836,2010,294.64,ALL,ALL,ALL,0TO99
1669,811,2010,137.52,ALL,ALL,ALL,0TO99
1682,827,2010,150.42,ALL,ALL,ALL,0TO99
1690,833,2010,151.51,ALL,ALL,ALL,0TO99
1705,829,2010,152.06,ALL,ALL,ALL,0TO99
1666,785,2010,57.23,ALL,ALL,ALL,0TO99
1649,783,2010,57.31,ALL,ALL,ALL,0TO99
1664,776,2010,57.60,ALL,ALL,ALL,0TO99
1686,824,2010,128.97,ALL,ALL,ALL,0TO99
1671,806,2010,136.13,ALL,ALL,ALL,0TO99
1670,814,2010,137.18,ALL,ALL,ALL,0TO99
1666,793,2010,196.89,ALL,ALL,ALL,0TO99
1678,805,2010,138.18,ALL,ALL,ALL,0TO99
1658,813,2010,137.29,ALL,ALL,ALL,0TO99
1703,832,2010,151.65,ALL,ALL,ALL,0TO99
1670,774,2010,74.63,ALL,ALL,ALL,0TO99
1645,792,2010,197.04,ALL,ALL,ALL,0TO99
1657,811,2010,137.52,ALL,ALL,ALL,0TO99
1662,792,2010,197.04,ALL,ALL,ALL,0TO99
1641,786,2010,197.92,ALL,ALL,ALL,0TO99
1674,824,2010,1263.91,ALL,ALL,ALL,0TO99
1657,817,2010,136.83,ALL,ALL,ALL,0TO99
1695,820,2010,153.25,ALL,ALL,ALL,0TO99
1682,823,2010,152.86,ALL,ALL,ALL,0TO99
1665,787,2010,57.15,ALL,ALL,ALL,0TO99
1691,820,2010,153.25,ALL,ALL,ALL,0TO99
1697,822,2010,152.99,ALL,ALL,ALL,0TO99
1646,783,2010,198.34,ALL,ALL,ALL,0TO99
1650,782,2010,57.36,ALL,ALL,ALL,0TO99
1655,774,2010,57.68,ALL,ALL,ALL,0TO99
1702,836,2010,307.87,ALL,ALL,ALL,0TO99
1661,821,2010,95.26,ALL,ALL,ALL,0TO99
1675,814,2010,137.18,ALL,ALL,ALL,0TO99
1630,770,2010,133.42,ALL,ALL,ALL,0TO99
1675,798,2010,196.14,ALL,ALL,ALL,0TO99
1659,823,2010,133.97,ALL,ALL,ALL,0TO99
1706,822,2010,152.99,ALL,ALL,ALL,0TO99
1675,821,2010,1184.50,ALL,ALL,ALL,0TO99
1701,824,2010,152.73,ALL,ALL,ALL,0TO99
1683,828,2010,99.55,ALL,ALL,ALL,0TO99
1646,779,2010,57.48,ALL,ALL,ALL,0TO99
1664,792,2010,197.04,ALL,ALL,ALL,0TO99
1671,792,2010,138.43,ALL,ALL,ALL,0TO99
1640,790,2010,197.33,ALL,ALL,ALL,0TO99
1668,817,2010,136.83,ALL,ALL,ALL,0TO99
1653,808,2010,130.73,ALL,ALL,ALL,0TO99
1658,807,2010,137.96,ALL,ALL,ALL,0TO99
1650,797,2010,196.29,ALL,ALL,ALL,0TO99
1690,820,2010,153.25,ALL,ALL,ALL,0TO99
1649,777,2010,57.56,ALL,ALL,ALL,0TO99
1669,833,2010,1253.85,ALL,ALL,ALL,0TO99
1646,778,2010,57.52,ALL,ALL,ALL,0TO99
1672,827,2010,1260.58,ALL,ALL,ALL,0TO99
1655,785,2010,57.23,ALL,ALL,ALL,0TO99
1665,781,2010,57.40,ALL,ALL,ALL,0TO99
1650,790,2010,57.02,ALL,ALL,ALL,0TO99
